epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67236,1.85081,4.51655,1.3408,0.00018,0.00973,2e-05,1e-05,1.29087,4.44082,1.07086,9e-05,9e-05,9e-05
2,12.2653,1.46756,3.58298,1.05306,0.00283,0.06237,0.00223,0.00112,1.19547,4.10391,0.92097,0.000186238,0.000186238,0.000186238
3,16.2684,1.46609,2.46447,1.00012,0.0145,0.22141,0.09934,0.06627,1.19309,3.75685,0.89542,0.000278516,0.000278516,0.000278516
4,21.8553,1.45,2.07187,1.00464,0.02318,0.35405,0.1648,0.10209,1.21923,3.44876,0.90105,0.000366834,0.000366834,0.000366834
5,26.7337,1.28981,1.78919,0.96812,0.02166,0.31362,0.20142,0.12456,1.15093,3.23432,0.89535,0.000451192,0.000451192,0.000451192
6,31.0962,1.26817,1.66039,0.97789,0.02352,0.41382,0.22931,0.14903,1.13004,3.13481,0.89604,0.00053159,0.00053159,0.00053159
7,37.157,1.26433,1.50407,0.95068,0.12637,0.48698,0.27858,0.18174,1.15046,2.82415,0.89838,0.000608028,0.000608028,0.000608028
8,41.097,1.15628,1.43165,0.94724,0.95079,0.08973,0.31104,0.21364,1.1164,2.64814,0.89267,0.000680506,0.000680506,0.000680506
9,45.5602,1.21538,1.45183,0.9608,0.97477,0.07879,0.33608,0.22299,1.13957,2.48573,0.89082,0.000749024,0.000749024,0.000749024
10,51.0971,1.19642,1.34787,0.94965,0.85464,0.19041,0.34561,0.22458,1.08407,2.27526,0.89575,0.000813582,0.000813582,0.000813582
11,55.5148,1.17084,1.28687,0.9382,0.77892,0.23843,0.37361,0.25338,1.084,2.07043,0.89833,0.000802,0.000802,0.000802
12,61.4555,1.16107,1.26427,0.93198,0.70379,0.33171,0.42027,0.28197,1.10632,1.7713,0.90079,0.0007822,0.0007822,0.0007822
