epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7243,1.4479,4.0985,1.20122,0.01145,0.17556,0.04494,0.03073,1.01354,4.07794,0.91554,0.00019,0.00019,0.00019
2,19.8287,1.26456,2.64223,1.03687,0.0218,0.35003,0.16508,0.11192,1.02536,3.4747,0.8942,0.000382278,0.000382278,0.000382278
3,30.0274,1.19999,2.08569,1.03458,0.06098,0.31949,0.18197,0.12864,1.05775,3.19205,0.92322,0.000566636,0.000566636,0.000566636
4,39.5901,1.1831,1.93901,1.02225,0.96138,0.11095,0.26936,0.19524,0.97881,2.53669,0.9016,0.000743074,0.000743074,0.000743074
5,48.3494,1.13628,1.85126,1.01716,0.65343,0.26155,0.30942,0.21293,1.01691,1.9805,0.92279,0.000911592,0.000911592,0.000911592
6,58.1736,1.16351,1.767,1.03224,0.46754,0.34948,0.33917,0.22812,1.05667,1.64222,0.9386,0.000901,0.000901,0.000901
7,67.8971,1.17417,1.75163,1.02951,0.68936,0.35034,0.36674,0.26022,0.96135,1.50643,0.91813,0.0008812,0.0008812,0.0008812
8,76.7037,1.01857,1.46483,0.98252,0.51756,0.4023,0.39445,0.28358,0.98042,1.38208,0.9068,0.0008614,0.0008614,0.0008614
9,86.3296,1.04535,1.46811,0.97355,0.58903,0.49778,0.44138,0.30803,1.09073,1.29474,0.92229,0.0008416,0.0008416,0.0008416
10,95.9432,1.07656,1.41516,0.97519,0.65312,0.46433,0.47333,0.33822,0.90708,1.11407,0.88805,0.0008218,0.0008218,0.0008218
11,104.303,1.04338,1.4514,0.97681,0.65571,0.57674,0.54611,0.39253,0.95406,1.11751,0.89881,0.000802,0.000802,0.000802
12,114.055,1.02607,1.28769,0.97608,0.70188,0.54119,0.55348,0.41284,0.88625,0.96978,0.88582,0.0007822,0.0007822,0.0007822
13,124.088,1.00674,1.30415,0.95719,0.69834,0.58081,0.55915,0.41578,0.86535,0.94624,0.87819,0.0007624,0.0007624,0.0007624
14,132.596,0.99965,1.31871,0.97127,0.55764,0.59672,0.59091,0.44103,0.92778,0.92708,0.88966,0.0007426,0.0007426,0.0007426
15,142.347,0.98132,1.23333,0.96528,0.71716,0.62363,0.60181,0.45379,0.84997,0.8753,0.87592,0.0007228,0.0007228,0.0007228
16,152.216,0.97754,1.19982,0.9619,0.74848,0.62177,0.62722,0.46745,0.89497,0.87844,0.87977,0.000703,0.000703,0.000703
17,162.233,0.97515,1.14191,0.95198,0.78536,0.64402,0.65779,0.48533,0.84973,0.79307,0.88439,0.0006832,0.0006832,0.0006832
18,170.968,0.94232,1.13021,0.94322,0.81753,0.63789,0.66646,0.50713,0.81932,0.78876,0.87574,0.0006634,0.0006634,0.0006634
19,180.618,0.93787,1.08755,0.93338,0.69286,0.66611,0.68854,0.51663,0.82398,0.77414,0.86706,0.0006436,0.0006436,0.0006436
20,190.831,0.91215,1.09335,0.93956,0.737,0.64641,0.7145,0.54838,0.82951,0.7857,0.86835,0.0006238,0.0006238,0.0006238
21,198.981,0.90741,0.99471,0.93685,0.86182,0.65308,0.73181,0.55942,0.80231,0.70933,0.86532,0.000604,0.000604,0.000604
22,208.733,0.87572,1.02644,0.9419,0.8605,0.65533,0.73589,0.55915,0.77326,0.75927,0.859,0.0005842,0.0005842,0.0005842
23,219.281,0.90944,1.00838,0.93848,0.86024,0.67408,0.7484,0.57273,0.84019,0.75228,0.86443,0.0005644,0.0005644,0.0005644
24,228.898,0.92438,0.97727,0.93453,0.86759,0.6847,0.75187,0.57582,0.77425,0.72806,0.85314,0.0005446,0.0005446,0.0005446
25,237.98,0.81905,0.93461,0.92574,0.75841,0.71117,0.72065,0.54902,0.83448,0.73764,0.8678,0.0005248,0.0005248,0.0005248
26,247.295,0.86813,0.9839,0.92663,0.78145,0.68591,0.72645,0.56263,0.77883,0.71784,0.85591,0.000505,0.000505,0.000505
27,257.718,0.81734,0.9005,0.90458,0.82761,0.68387,0.74796,0.59002,0.74443,0.66011,0.84897,0.0004852,0.0004852,0.0004852
28,266.562,0.84421,0.9057,0.91358,0.73581,0.74764,0.74907,0.58231,0.76079,0.67443,0.85079,0.0004654,0.0004654,0.0004654
29,276.161,0.88377,0.94481,0.91219,0.73648,0.75266,0.7679,0.59513,0.78696,0.74112,0.85613,0.0004456,0.0004456,0.0004456
30,286.322,0.88176,0.93537,0.92106,0.83121,0.70027,0.76991,0.59352,0.77032,0.7258,0.85408,0.0004258,0.0004258,0.0004258
31,294.873,0.81506,0.8418,0.9021,0.80744,0.71838,0.78922,0.61735,0.76599,0.65272,0.85073,0.000406,0.000406,0.000406
32,304.742,0.82051,0.88908,0.90781,0.87988,0.72915,0.79945,0.61225,0.76028,0.65404,0.84879,0.0003862,0.0003862,0.0003862
33,314.58,0.85101,0.8963,0.9082,0.73691,0.73293,0.77913,0.58749,0.78341,0.69445,0.8516,0.0003664,0.0003664,0.0003664
34,324.91,0.80991,0.88875,0.90226,0.86152,0.72474,0.79785,0.6121,0.73411,0.6444,0.8458,0.0003466,0.0003466,0.0003466
35,333.52,0.82484,0.89011,0.91754,0.82697,0.74997,0.80676,0.6246,0.71475,0.61624,0.84456,0.0003268,0.0003268,0.0003268
36,343.281,0.83935,0.84602,0.91056,0.89593,0.75726,0.82481,0.62011,0.73816,0.62143,0.84803,0.000307,0.000307,0.000307
37,353.545,0.78841,0.85095,0.89747,0.82295,0.76003,0.79804,0.61706,0.73574,0.64176,0.8475,0.0002872,0.0002872,0.0002872
38,362.215,0.76132,0.83337,0.89672,0.83278,0.74972,0.80256,0.629,0.71311,0.6311,0.84251,0.0002674,0.0002674,0.0002674
39,372.392,0.79744,0.82069,0.89749,0.8287,0.73971,0.80017,0.62746,0.70883,0.62007,0.84248,0.0002476,0.0002476,0.0002476
40,382.693,0.79533,0.80769,0.88131,0.87941,0.75136,0.82419,0.63206,0.7097,0.61472,0.84256,0.0002278,0.0002278,0.0002278
41,393.965,0.78575,0.85691,0.90616,0.87643,0.75097,0.82889,0.63757,0.73324,0.60317,0.84504,0.000208,0.000208,0.000208
42,400.797,0.75759,0.80961,0.88522,0.87452,0.75562,0.83075,0.64153,0.72978,0.59423,0.84358,0.0001882,0.0001882,0.0001882
43,409.282,0.73581,0.77815,0.89172,0.90454,0.75397,0.83729,0.64378,0.71057,0.56435,0.84065,0.0001684,0.0001684,0.0001684
44,416.404,0.7511,0.82557,0.89598,0.89309,0.76242,0.83885,0.64098,0.72379,0.56686,0.84296,0.0001486,0.0001486,0.0001486
45,424.61,0.74167,0.79256,0.89362,0.90048,0.75627,0.83781,0.64554,0.71412,0.57741,0.84014,0.0001288,0.0001288,0.0001288
46,433.1,0.71816,0.77643,0.87352,0.90233,0.75402,0.83414,0.64039,0.70753,0.5772,0.83836,0.000109,0.000109,0.000109
47,439.937,0.75578,0.83387,0.89515,0.86058,0.77281,0.83686,0.64271,0.71037,0.57699,0.83822,8.92e-05,8.92e-05,8.92e-05
48,447.742,0.73253,0.78904,0.89385,0.87473,0.76795,0.83645,0.64052,0.7126,0.5729,0.83934,6.94e-05,6.94e-05,6.94e-05
49,454.792,0.74539,0.78371,0.89167,0.84495,0.78777,0.84295,0.64807,0.6994,0.56987,0.83769,4.96e-05,4.96e-05,4.96e-05
50,463.326,0.73998,0.79455,0.89323,0.85534,0.78744,0.8444,0.64923,0.69449,0.56677,0.83719,2.98e-05,2.98e-05,2.98e-05
