epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9079,1.4479,4.0985,1.20122,0.01145,0.17556,0.04494,0.03073,1.01354,4.07794,0.91554,0.00019,0.00019,0.00019
2,18.7065,1.26397,2.6346,1.03671,0.02184,0.35937,0.16443,0.11051,1.02845,3.477,0.89458,0.000386139,0.000386139,0.000386139
3,28.1253,1.19461,2.07982,1.03306,0.01662,0.33839,0.18233,0.13222,1.03914,3.23232,0.9259,0.000578318,0.000578318,0.000578318
4,37.8281,1.17549,1.91644,1.0221,0.93061,0.10912,0.23517,0.17359,0.97816,2.60365,0.89651,0.000766537,0.000766537,0.000766537
5,46.2681,1.13007,1.82303,1.01339,0.42441,0.23553,0.30276,0.20721,1.02966,2.03596,0.91358,0.000950796,0.000950796,0.000950796
6,55.6137,1.15079,1.74234,1.01689,0.46665,0.33747,0.33543,0.2253,1.07015,1.69324,0.93407,0.0009505,0.0009505,0.0009505
7,65.087,1.19304,1.75527,1.02454,0.51397,0.37287,0.36343,0.25722,0.97927,1.46864,0.91983,0.0009406,0.0009406,0.0009406
8,73.7787,1.04084,1.46252,0.99173,0.5355,0.40922,0.37901,0.26832,1.03272,1.55688,0.91985,0.0009307,0.0009307,0.0009307
9,83.0314,1.05924,1.45741,0.98027,0.69263,0.41623,0.45241,0.30618,1.11883,1.39272,0.92714,0.0009208,0.0009208,0.0009208
10,92.6254,1.09454,1.43501,0.98549,0.64964,0.44526,0.49001,0.34852,0.90657,1.17546,0.89612,0.0009109,0.0009109,0.0009109
11,101.407,1.06938,1.4765,0.99799,0.66182,0.58207,0.55739,0.39591,0.96797,1.01572,0.90632,0.000901,0.000901,0.000901
12,109.793,1.02376,1.29237,0.97596,0.7407,0.5612,0.56215,0.41112,0.87536,1.00351,0.88675,0.0008911,0.0008911,0.0008911
