epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.446,1.5269,5.49052,0.00343,0.00092,0.03022,0.00125,0.0011,0.98152,5.03041,0.00202,0.00019,0.00019,0.00019
2,49.017,1.31489,4.95428,0.00291,0.02114,0.20824,0.07087,0.04988,1.04989,4.55284,0.00217,0.000386139,0.000386139,0.000386139
3,59.8739,1.35917,4.24796,0.00287,0.81881,0.0712,0.09518,0.06376,1.09351,3.79709,0.00225,0.000578318,0.000578318,0.000578318
4,70.2858,1.40521,4.20899,0.00301,0.89471,0.04193,0.09227,0.06142,1.04508,3.55469,0.00214,0.000766537,0.000766537,0.000766537
5,80.9126,1.32503,4.00448,0.00304,0.85287,0.05234,0.08402,0.05862,1.13967,3.25724,0.0025,0.000950796,0.000950796,0.000950796
6,90.7565,1.31738,3.95147,0.00291,0.54384,0.0619,0.13143,0.09117,1.15887,3.04226,0.00254,0.0009505,0.0009505,0.0009505
7,101.341,1.34757,3.81825,0.00284,0.65642,0.13545,0.16528,0.12031,1.02127,2.494,0.00219,0.0009406,0.0009406,0.0009406
8,112.316,1.16513,3.33812,0.00259,0.6418,0.20914,0.18624,0.13386,1.05824,2.11137,0.00225,0.0009307,0.0009307,0.0009307
9,123.301,1.21284,3.36609,0.0026,0.69637,0.30031,0.23989,0.17044,1.00255,1.9617,0.00205,0.0009208,0.0009208,0.0009208
10,134.208,1.2486,3.24589,0.00253,0.6857,0.32197,0.26211,0.17737,1.09254,1.87934,0.00226,0.0009109,0.0009109,0.0009109
11,144.254,1.26017,3.28169,0.00265,0.65602,0.31273,0.3028,0.21757,1.03764,1.64256,0.0021,0.000901,0.000901,0.000901
12,154.936,1.1899,2.91786,0.00248,0.58567,0.35342,0.3033,0.22583,0.951,1.6036,0.00194,0.0008911,0.0008911,0.0008911
13,165.243,1.19729,2.98459,0.00242,0.65671,0.33364,0.34846,0.26505,0.95947,1.50366,0.00197,0.0008812,0.0008812,0.0008812
14,175.643,1.2023,3.08579,0.00264,0.64502,0.38161,0.40575,0.29621,1.02406,1.4356,0.00211,0.0008713,0.0008713,0.0008713
15,185.77,1.14854,2.7718,0.00249,0.5832,0.45761,0.4116,0.30046,0.9864,1.32632,0.00199,0.0008614,0.0008614,0.0008614
16,195.839,1.16465,2.7514,0.0025,0.49177,0.45691,0.39515,0.28451,1.01099,1.30845,0.00201,0.0008515,0.0008515,0.0008515
17,206.165,1.12761,2.49197,0.0023,0.60488,0.45957,0.44112,0.31959,0.98303,1.23656,0.002,0.0008416,0.0008416,0.0008416
18,216.754,1.15602,2.53487,0.00232,0.63026,0.42697,0.45586,0.33197,0.94378,1.19531,0.00189,0.0008317,0.0008317,0.0008317
19,227.295,1.15924,2.32093,0.00228,0.62555,0.4181,0.47358,0.3461,0.98264,1.19329,0.00199,0.0008218,0.0008218,0.0008218
20,236.71,1.13538,2.47369,0.00245,0.59197,0.44114,0.47102,0.35366,0.9393,1.1567,0.00186,0.0008119,0.0008119,0.0008119
21,247.048,1.11361,2.13981,0.00226,0.67253,0.42792,0.46397,0.34454,0.96262,1.17645,0.00198,0.000802,0.000802,0.000802
22,256.855,1.07651,2.39221,0.00242,0.67289,0.44255,0.47947,0.3584,0.90735,1.12181,0.00186,0.0007921,0.0007921,0.0007921
23,267.873,1.14354,2.22507,0.00237,0.6552,0.49439,0.52679,0.39136,0.89915,1.1151,0.0018,0.0007822,0.0007822,0.0007822
24,277.622,1.15208,2.09228,0.0023,0.64341,0.51939,0.55347,0.40748,0.85945,1.05455,0.00174,0.0007723,0.0007723,0.0007723
25,287.986,0.99365,2.11352,0.00227,0.60656,0.56671,0.54944,0.40237,0.92124,1.04628,0.00185,0.0007624,0.0007624,0.0007624
26,298.261,1.08568,2.10013,0.0023,0.62908,0.56392,0.54818,0.41466,0.86533,1.06821,0.00169,0.0007525,0.0007525,0.0007525
27,308.761,1.04246,2.00622,0.00211,0.71254,0.49861,0.55848,0.42061,0.91157,1.02319,0.00186,0.0007426,0.0007426,0.0007426
28,318.616,1.06372,1.92953,0.00214,0.67121,0.52501,0.57008,0.4317,0.88364,0.97135,0.00174,0.0007327,0.0007327,0.0007327
29,328.312,1.1004,1.9687,0.00211,0.67342,0.53378,0.57474,0.43331,0.90295,0.95946,0.00174,0.0007228,0.0007228,0.0007228
30,338.757,1.10084,1.8931,0.00209,0.67401,0.56053,0.56337,0.41902,0.91623,0.94072,0.00175,0.0007129,0.0007129,0.0007129
31,349.479,1.04629,1.74294,0.00207,0.65355,0.61065,0.58271,0.43878,0.88243,0.86407,0.00169,0.000703,0.000703,0.000703
32,359.141,1.0655,1.80997,0.0022,0.7272,0.52619,0.58859,0.44292,0.91209,0.87201,0.00181,0.0006931,0.0006931,0.0006931
33,369.277,1.1173,1.7851,0.00206,0.71066,0.59749,0.60297,0.45693,0.88899,0.8135,0.00176,0.0006832,0.0006832,0.0006832
34,379.534,1.03719,1.80095,0.00203,0.70217,0.57797,0.61066,0.46606,0.85615,0.81385,0.00169,0.0006733,0.0006733,0.0006733
35,390.172,1.0354,1.72952,0.0022,0.77232,0.5713,0.63289,0.48087,0.86306,0.80727,0.00168,0.0006634,0.0006634,0.0006634
36,401.189,1.10382,1.63353,0.00221,0.77916,0.54578,0.63853,0.4846,0.86567,0.80429,0.00169,0.0006535,0.0006535,0.0006535
37,411.176,1.00805,1.70107,0.00205,0.70258,0.60019,0.64581,0.48702,0.89086,0.83711,0.00177,0.0006436,0.0006436,0.0006436
38,421.629,0.99002,1.63635,0.00211,0.74822,0.56701,0.64644,0.4906,0.8776,0.8247,0.00171,0.0006337,0.0006337,0.0006337
39,432.169,1.03471,1.57581,0.00208,0.72912,0.59282,0.6637,0.50996,0.86561,0.77589,0.00171,0.0006238,0.0006238,0.0006238
40,442.333,1.05857,1.53426,0.00197,0.77167,0.58104,0.67173,0.51143,0.85596,0.7576,0.00169,0.0006139,0.0006139,0.0006139
41,453.75,1.04701,1.48264,0.00206,0.75779,0.62,0.68336,0.53198,0.87813,0.76993,0.00176,0.000604,0.000604,0.000604
42,463.489,1.0401,1.52609,0.00204,0.72902,0.65572,0.68122,0.52594,0.84379,0.76151,0.00165,0.0005941,0.0005941,0.0005941
43,474.241,0.98901,1.45646,0.00199,0.72759,0.6646,0.6771,0.52106,0.83842,0.75042,0.00162,0.0005842,0.0005842,0.0005842
