epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8046,1.3565,3.7295,3.81429,1.34726,0,0.02713,0.22006,0.07742,0.05648,0.02494,0.14488,0.06853,0.03874,1.06568,2.70689,3.79406,1.12072,0,0.000270894,0.000270894,0.000270894
2,37.9206,1.2837,2.75609,2.79417,1.28871,0,0.5394,0.20651,0.2073,0.14344,0.84206,0.16891,0.19556,0.11969,1.15458,2.16343,3.01925,1.14936,0,0.00054313,0.00054313,0.00054313
3,53.7844,1.21097,2.49781,2.32048,1.27569,0,0.76575,0.22708,0.24761,0.16911,0.74403,0.20145,0.22714,0.13768,1.15695,2.36198,2.32348,1.20773,0,0.000809868,0.000809868,0.000809868
4,70.5048,1.18186,2.4018,2.0739,1.2394,0,0.64809,0.3076,0.29281,0.19594,0.64663,0.28213,0.27682,0.15823,1.14554,2.04919,1.98194,1.22318,0,0.00080826,0.00080826,0.00080826
5,86.4445,1.15839,2.30261,1.88498,1.22523,0,0.58349,0.31346,0.33239,0.22445,0.5428,0.30645,0.31554,0.18376,1.12976,2.08223,1.69617,1.18219,0,0.000800013,0.000800013,0.000800013
6,102.279,1.09985,2.12176,1.74701,1.21722,0,0.55605,0.33645,0.33788,0.22603,0.54607,0.33208,0.33934,0.20458,1.15686,1.86565,1.71349,1.20023,0,0.000791767,0.000791767,0.000791767
7,118.111,1.13067,2.09155,1.73063,1.2175,0,0.56177,0.4077,0.35839,0.25159,0.56465,0.39579,0.35754,0.21569,1.08863,1.82187,1.55353,1.16885,0,0.00078352,0.00078352,0.00078352
8,133.894,1.04769,1.92909,1.58967,1.17379,0,0.60446,0.38599,0.39177,0.28636,0.59362,0.38207,0.38091,0.23114,0.93605,1.57909,1.27835,1.1021,0,0.000775273,0.000775273,0.000775273
9,150.61,1.02241,1.86955,1.50693,1.16708,0,0.62395,0.40043,0.41092,0.29195,0.59154,0.39106,0.38268,0.23248,0.93517,1.61663,1.24572,1.07315,0,0.000767026,0.000767026,0.000767026
10,166.323,1.0352,1.90301,1.52021,1.17569,0,0.62262,0.42224,0.43819,0.31699,0.62216,0.40378,0.41528,0.25727,0.90955,1.49544,1.20875,1.05725,0,0.00075878,0.00075878,0.00075878
11,181.976,0.98436,1.78428,1.4093,1.15515,0,0.65782,0.47326,0.45664,0.32967,0.64469,0.46335,0.4371,0.26417,0.90299,1.42848,1.13431,1.06303,0,0.000750533,0.000750533,0.000750533
12,197.848,0.97606,1.71182,1.37373,1.1383,0,0.70395,0.48382,0.48034,0.34849,0.69178,0.46582,0.45478,0.27977,0.90208,1.504,1.13784,1.06784,0,0.000742286,0.000742286,0.000742286
